Date,P1,P2,P3
2026-04-05,5,1,9
2026-04-05,4,0,8
2026-04-05,2,7,8
2026-04-06,6,1,7
2026-04-06,6,4,1
2026-04-06,6,3,5
2026-04-07,3,7,9
2026-04-07,1,7,8
2026-04-07,0,8,2
2026-04-08,8,2,6
2026-04-08,1,4,1
2026-04-08,7,3,0
2026-04-09,5,6,1
2026-04-09,0,7,5
2026-04-09,7,4,9
2026-04-10,9,7,9
2026-04-10,4,7,6
2026-04-10,4,7,3
2026-04-11,2,7,7
2026-04-11,7,8,8
2026-04-11,4,1,9
2026-04-12,3,6,9
2026-04-12,0,2,6
2026-04-12,2,1,1
2026-04-13,0,9,3
2026-04-13,5,5,4
2026-04-13,7,5,0
2026-04-14,2,3,1
2026-04-14,3,6,8
2026-04-14,7,6,0
