Date,P1,P2,P3,P4
2026-04-13,6,6,0,7
2026-04-11,1,6,9,0
2026-04-08,3,1,6,1
2026-04-06,8,4,5,5
2026-04-01,7,5,0,2
2026-03-30,3,6,7,7
2026-03-27,9,5,7,6
2026-03-25,0,3,0,2
2026-03-23,4,1,4,4
2026-03-20,0,5,8,0
2026-03-18,5,5,6,4
2026-03-16,5,4,8,4
2026-03-13,9,6,1,5
2026-03-11,2,9,7,0
2026-03-09,2,8,8,3
2026-03-06,1,0,3,0
2026-03-04,2,3,5,4
2026-03-02,7,6,3,7
2026-02-27,8,7,1,0
2026-02-25,7,7,3,0
2026-02-23,6,4,4,6
2026-02-20,9,5,0,0
2026-02-18,6,7,6,5
2026-02-16,5,9,8,9
2026-02-13,2,3,2,8
2026-02-11,4,2,3,8
2026-02-09,8,7,5,0
2026-02-06,6,1,0,0
2026-02-04,2,6,3,4
2026-02-02,4,4,0,1
2025-12-31,1,3,2,4
2025-12-29,5,2,1,2
2025-12-26,9,6,7,7
2025-12-24,9,1,5,6
2025-12-22,3,2,0,1
2025-12-19,5,1,7,4
2025-12-17,4,5,6,1
2025-12-15,6,8,0,7
2025-12-12,2,4,2,1
2025-12-10,8,2,8,7
2025-12-08,6,0,5,7
2025-12-05,5,1,7,5
2025-12-03,8,3,4,7
2025-12-01,8,3,3,6
2025-11-28,8,5,8,5
2025-11-26,2,8,0,4
2025-11-24,0,2,8,1
2025-11-22,9,0,2,8
2025-11-19,2,7,2,1
2025-11-17,0,3,8,8
2025-11-15,8,5,1,7
2025-11-12,3,3,7,9
2025-11-10,8,4,8,0
2025-11-07,6,8,9,1
2025-11-05,0,0,0,5
2025-11-03,6,6,3,5
2025-10-31,7,8,5,1
2025-10-29,4,1,9,5
2025-10-27,2,6,6,9
2025-10-24,8,2,6,4
2025-10-22,4,9,9,7
2025-10-19,2,7,3,1
2025-10-17,1,2,2,9
2025-10-15,2,4,2,7
2025-10-12,5,8,5,6
2025-10-10,3,3,1,1
2025-10-08,5,2,0,7
2025-10-05,3,7,6,8
2025-10-03,3,8,6,2
2025-10-01,8,9,0,7
2025-09-29,9,1,2,5
2025-09-26,0,2,7,4
2025-09-24,7,5,9,3
2025-09-22,5,1,3,5
2025-09-19,2,4,0,1
2025-09-17,9,7,3,8
2025-09-15,5,1,9,7
2025-09-12,4,7,9,4
2025-09-10,1,5,7,8
2025-09-08,5,8,2,0
2025-09-06,7,0,3,7
2025-09-03,7,4,5,7
2025-09-01,9,5,1,2
2025-08-29,4,7,6,1
2025-08-27,1,7,7,1
2025-08-25,8,8,3,8
