Date,N1,N2,N3,N4,N5,N6
2026-02-28,20,21,30,34,39,41
2026-03-03,1,9,18,27,34,36
2026-03-05,5,12,14,22,31,42
2026-03-07,8,17,19,25,30,33
2026-03-10,3,13,21,32,37,40
2026-03-12,7,16,20,22,38,41
2026-03-14,6,10,15,24,29,35
2026-03-17,1,11,18,23,36,39
2026-03-19,5,12,22,27,34,41
2026-03-21,2,9,14,26,31,37
2026-03-24,8,13,19,25,30,42
2026-03-26,4,15,21,28,33,40
2026-03-28,1,3,5,9,11,23
2026-03-31,2,11,19,26,30,37
2026-04-02,4,8,15,28,33,40
2026-04-04,7,14,21,22,31,36
2026-04-07,12,18,25,29,40,42
2026-04-09,3,5,6,11,38,41
2026-04-11,10,17,20,34,35,39
